gene,importance_score
Klc2,0.11101028588916675
Nav1,0.11058862285869427
Ppm1k,0.11045986943232888
Il11,0.1098216622195734
Ppp2r4,0.10981238019784982
Trmt44,0.10979813909914897
Ncf2,0.10958644974825209
Apc2,0.10930314652917164
Grb14,0.1090756052282163
Elmsan1,0.10777941662696394
Rheb,0.10768784094453072
Disp2,0.10736610987876473
Rab3d,0.10708408056213167
Cnppd1,0.10587798077412049
Cyp7b1,0.10551611103857232
Npy,0.10496209133854649
Lypd6b,0.10477663724304097
Bud13,0.104412576371828
Rab36,0.10382619758715947
Hsd17b12,0.1035317352158312
Spock2,0.10330852921612736
Cobll1,0.10275639410438993
Sec24a,0.10254161921549093
Homer1,0.10130454604417394
Map7,0.1010607599423632
Prox1os,0.10097975745123158
Etfdh,0.10043861282953859
Zcchc18,0.09968718034531213
Ctxn2,0.09925006794097035
Adam9,0.0990234318459049
Fabp5,0.09875869943460662
Tpt1,0.09761790016238323
Plxdc2,0.09469397919123312
Sh2d5,0.093744105560447
St3gal1,0.0934538805644091
Etv1,0.0934026228703834
Gabrb2,0.0933966225873158
Svil,0.09298445761964867
Higd2a,0.09296499113642083
Slc38a5,0.09264901753230434
Hap1,0.09199369889151482
Celf2,0.09154436486511587
Tmem63c,0.09136574147945982
Sf3b4,0.09133853950278771
Brd3,0.09124817319777297
Nsmaf,0.09114308113593626
9230110C19Rik,0.08980860573395762
Rasl12,0.08966608687932785
Gm15912,0.08957380149765763
Phf11c,0.08937296187448775
Ipo8,0.0888114498320762
Sirt5,0.08844655629815594
Hpca,0.08797322431023902
Rab11fip3,0.0879211931744657
Trpc4,0.08770972637057921
Prkrir,0.08681861928442819
Atp5d,0.08636893599921165
Lzts1,0.08573188779383158
Uhrf2,0.08495480825776199
Kdm6a,0.08492342619726344
Clcn7,0.08484903096534858
Acvr1,0.08473474252047708
Fxyd6,0.08459045226109152
Lypd1,0.08445673562913825
Abcd1,0.08440212468386346
Uevld,0.0842629748801648
Dlg2,0.08420365949986644
Prkce,0.084030971625475
Msl1,0.08392980608435266
Nrp1,0.08385423463102415
Foxred1,0.08309482899412952
Cul9,0.08292441191895714
Mcmbp,0.08278458768899637
Smim10l1,0.0827776439298027
Ppp4r1,0.08240739418951479
Ncald,0.08205160927273111
Sh3bp5l,0.08177758145596814
Cep104,0.0816944578820473
Heatr6,0.08154082662150922
H2-Q4,0.0813880125505317
