gene,importance_score
Ece1,0.13400152307757657
Cnksr2,0.1338516944050695
Dusp6,0.13352040970240572
Phlda1,0.13335609407138216
Khsrp,0.1331205887742007
Slc35g2,0.13298232318284164
Hlf,0.13264903307248896
Gm45768,0.13263972471049834
Eif1ax,0.13147937613670307
Cpne2,0.1295876339577729
Calb1,0.12927938831706864
Tspyl1,0.12915940092268294
Mapk1,0.12868970784805897
Gm15427,0.12825534225611676
Arhgap20,0.1275857654375206
Nars,0.12697400389085997
Rps25,0.12671060628549
Lor,0.12667333173640416
mt-Co3,0.12654401744350738
H2afx,0.12599455702199977
Csrnp3,0.12590083647072725
Tcp1,0.12580860295597163
Dusp18,0.125356293159671
2900060B14Rik,0.12528257062828527
Rtn3,0.12497561397565302
Gm15631,0.12444809185031361
Osbpl3,0.12439436333797141
Foxo3,0.12389806539470068
Timmdc1,0.12355214818388627
Per1,0.12350324988555346
Schip1,0.12310774127557964
Efnb3,0.12279877406014192
Cask,0.12233044910318278
Dlx1,0.12222638204253719
Dusp19,0.12212174160950189
Gad1,0.12205937080411476
Pkia,0.12118434963446376
Gm4673,0.12117588433427663
Osbpl8,0.1211458916783373
Rab1b,0.12090706915554619
Ets2,0.12006573806850936
Vsnl1,0.12000356336192176
Zdhhc21,0.11971678147415589
Slc25a36,0.11877245547430801
Sh3bgrl3,0.11857669281263852
Ndn,0.11851278980203764
Dcaf6,0.1176709052154934
Sdha,0.1176485419697913
Dnajb14,0.11730274994509929
Slc32a1,0.11677789596858391
Upf1,0.11665847079717151
Gnaq,0.11652288992538516
Syn1,0.1164857031521997
Wipf3,0.11638632736182705
Meis2,0.11589695130780535
Arpp21,0.11530689349592038
Ssbp4,0.11529793273317075
Fyttd1,0.1152963631274996
Pik3c2b,0.11524521579304313
Cox5b,0.11507221849721176
Gm5436,0.11467438138511404
Lzts1,0.1145609417246026
Fundc1,0.11437232134723138
Pak1,0.1141960051603629
Selenot,0.11416381443245499
Crebbp,0.11403376065471213
Atp2b1,0.11402800473450969
Zfp385b,0.11385940856294628
Ahctf1,0.11382862277214678
Rgs10,0.11369479301518595
Eif2s2,0.1135760348411657
Sox2,0.11349333106327109
A530058N18Rik,0.11345752281054991
Rpl34-ps1,0.11338269637858905
Ube2h,0.11318992351174863
Arhgef28,0.11273917062106815
Rsph3a,0.11259912561323179
Cited2,0.11237075966581848
Slc25a12,0.11232332506331984
Trpv2,0.11224102830170955
Vstm2a,0.11200362979192427
Pgam1-ps2,0.11190597398253616
Pcf11,0.11140886945938652
Dlg4,0.11119943286011617
Spin1,0.11116932384991124
Rims1,0.11055530871556636
Rps29,0.11046346175736337
Ndufa3,0.1102860750107425
Gas7,0.11013174645614637
Wdr7,0.10999016232339355
Smu1,0.1099687505897897
B230334C09Rik,0.10991793639225529
C1ql3,0.10970114845501465
Fam46a,0.10965063762830889
Extl1,0.10948455011629304
Ypel4,0.10948366463005484
Vps13a,0.10930687255046573
Atp2b4,0.10908900776274098
Rrn3,0.10898723439474219
Vps35,0.10891495729608432
Igf2r,0.10889435995807002
Sulf2,0.1088506771159477
Ncs1,0.10835898857526713
Sssca1,0.10832643475644192
Rhpn1,0.10831287235116298
Gm10048,0.10823812814256649
Adar,0.10822960510864231
Crebl2,0.10812654272087314
Ssbp2,0.10794299206656145
Enc1,0.1079397213475969
Egr1,0.1079161727337204
Abcc5,0.10781645924214121
Gars,0.10752739389582151
Sept7,0.10749960129645798
Slc6a1,0.10744336599583754
Atg2b,0.1073546754007591
Tmem59l,0.10732341442887376
Chst2,0.10728142192731602
Syt5,0.10719600271519485
Gfra4,0.1071738840896444
Coch,0.10689542934771375
Cplx1,0.10688339912213582
Enho,0.10659201517699532
Slc17a7,0.1065502856890684
Matk,0.1064736045816491
Kalrn,0.10625164506572579
Gap43,0.10604030751792168
Hipk1,0.10597417826110765
Mbnl2,0.10562500478673256
Tmem145,0.10541516173690006
Vamp2,0.10530421947169809
Morf4l2,0.10527610103983889
Scg3,0.10516637150214349
Slk,0.10511813792266218
Cox6a1,0.10506572405398032
Capza1,0.10498840699464165
Got1,0.1049169035151373
Rims3,0.10474332581235574
Elovl4,0.10417330659798958
Tnr,0.10379828017806812
Ier2,0.10371488726483971
2900097C17Rik,0.10368958531766559
Hebp1,0.10363868456364703
Ino80e,0.10340277491303437
Sez6l,0.1031482957220465
Gm10031,0.10305269698784938
Uchl1,0.10290860649374801
